col1_1a,col1_1,RA_d,DEC_d,FWHM_d,R_SAT_d,IND_d,MAG_d,MAG_d_unc,AP_d,AP_d_unc,PSF_d,PSF_d_unc,SKY_d,VISION,col1_2,ra_1,dec_1,wfc3m,wfc3u,nic1.6m,nic1.6u,nic2.05m,nic2.05u,irtfm,irtfu,hops,separation_2,closesthops,4thnearest,Separation_1,col1_3,ra_s,dec_s,b36_s,unc36_s,b45_s,unc45_s,b58_s,unc58_s,b8_s,unc8_s,J,uncJ,H,uncH,Ks,uncKs,class,col1_2a,Unnamed: 0.4,ra_v,dec_v,J_v,Je_v,H_v,He_v,Ks_v,Kse_v,Separation
0,0.0,83.666180197351,-5.72943654349883,2.346365213394165,0.0,0.0,18.64447231011963,0.0063658589497208,18.64447231011963,0.0063658589497208,,,0.2728347480297089,0.0,,,,,,,,,,,,,,,,,43959.0,83.6662,-5.72925,16.104,0.072,15.845,0.091,,,,,,,,,,,star_or_galaxy,6,6,83.666172,-5.729387,20.882,0.192,18.619,0.053,17.363,0.052,0.18075747159697386
1,1.0,83.66800068373942,-5.740148007487835,2.455609798431396,0.0,3.0,20.808954426818843,0.0264355577528476,20.808954426818843,0.0264355577528476,,,0.2429132014513016,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,83.667977,-5.740108,,,,,19.149,0.16,0.1671543049592787
2,2.0,83.66944207620595,-5.784787560180958,2.465944766998291,0.0,5.0,20.797575184875484,0.0432316698133945,20.797575184875484,0.0432316698133945,,,0.1072305589914322,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3.0,83.67002402503394,-5.655094823563615,2.441189289093018,0.0,7.0,17.94516963677978,0.0043383431620895,17.94516963677978,0.0043383431620895,,,0.1741983592510223,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,83.670013,-5.655052,19.147,0.074,18.033,0.045,17.345,0.058,0.15914397267100183
4,4.0,83.67266364598447,-5.68455160236868,2.192251682281494,0.0,14.0,22.139623829895022,0.0862151905894279,22.139623829895022,0.0862151905894279,,,0.1576606631278992,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5.0,83.67299052580249,-5.776631659605432,2.717259407043457,0.0,15.0,21.13826007562256,0.0571115761995315,21.13826007562256,0.0571115761995315,,,0.1136702299118042,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.0,83.6754405557374,-5.662628682379968,2.18212628364563,0.0,17.0,21.412328908020022,0.0510313846170902,21.412328908020022,0.0510313846170902,,,0.1421646177768707,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7.0,83.68149461189626,-5.674778296000638,2.218572616577148,0.0,25.0,22.340988347106936,0.1106636598706245,22.340988347106936,0.1106636598706245,,,0.1953074485063553,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.0,83.68240981506568,-5.673806947959571,2.709061861038208,0.0,26.0,21.5383970232544,0.0554458573460578,21.5383970232544,0.0554458573460578,,,0.1878946870565414,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.0,83.68329650178103,-5.71268516557736,2.596154689788818,0.0,27.0,19.94305629449463,0.0302278995513916,19.94305629449463,0.0302278995513916,,,0.1534097492694855,0.0,182.0,83.68332779512419,-5.712762583397919,20.00060121438284,0.0470935779013996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27211.822198290523,-1013.0,0.0,7.363194970571967E-4,,,,,,,,,,,,,,,,,,,63,63,83.683359,-5.712575,,,19.658,0.132,18.8,0.146,0.4554217811660858
10,,83.68381569701978,-5.662975400359242,0.0363070927560329,0.0,28.0,21.574756810241706,0.0548578053712844,21.574756810241706,0.0548578053712844,,,0.1500622928142548,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11.0,83.68718345848566,-5.661442813902934,2.536327362060547,0.0,30.0,19.77908343988037,0.0130552109330892,19.77908343988037,0.0130552109330892,,,0.1435174345970154,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12.0,83.69042555876487,-5.68347513941392,2.580658674240112,0.0,32.0,21.84397334771728,0.0674679353833198,21.84397334771728,0.0674679353833198,,,0.1713709384202957,0.0,164.0,83.69046541452872,-5.683560278976844,21.955614561302927,0.0505230161749299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3995.561109311513,-1014.0,0.0,0.0014868946493017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13.0,83.69132055845405,-5.67280153757798,2.1273193359375,0.0,33.0,19.90276927667237,0.0131855113431811,19.90276927667237,0.0131855113431811,,,0.2137975543737411,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,84,83.691353,-5.672798,,,19.712,0.14,19.047,0.195,0.11691329348899736
14,14.0,83.69182939633224,-5.655528032375907,2.661234140396118,0.0,35.0,18.578901478820804,0.0061318995431065,18.578901478820804,0.0061318995431065,,,0.3590705096721649,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,86,83.691837,-5.655409,19.872,0.116,,,17.466,0.062,0.4293814761441261
15,15.0,83.69190189117673,-5.674503549245965,1.966828942298889,0.0,36.0,22.217561909729007,0.0988626703619957,22.217561909729007,0.0988626703619957,,,0.2055669724941254,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16.0,83.69222203392577,-5.745129742738269,2.634623289108276,0.0,37.0,22.002550313049312,0.0825208723545074,22.002550313049312,0.0825208723545074,,,0.2149458825588226,0.0,155.0,83.69213611418883,-5.745116537738793,22.44933923623084,0.0592694123619124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6317.319993448851,24.0,0.0,4.309884630693509E-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17.0,83.69830210054302,-5.675052996641377,2.490286111831665,0.0,40.0,21.629965016418453,0.0574392043054103,21.629965016418453,0.0574392043054103,,,0.2132744342088699,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18.0,83.69893494368881,-5.713128824752024,2.459996223449707,0.0,41.0,18.94498271661377,0.0129024367779493,18.94498271661377,0.0129024367779493,,,0.1852363795042038,0.0,,,,,,,,,,,,,,,,,44084.0,83.699,-5.71303,15.797,0.055,15.391,0.07,,,,,,,,,,,star_or_galaxy,102,102,83.698985,-5.713101,,,18.802,0.072,16.857,0.045,0.20539004919162063
19,19.0,83.70008734980507,-5.665642033859497,2.426275014877319,0.0,43.0,20.519291111999514,0.0261445511132478,20.519291111999514,0.0261445511132478,,,0.1732542663812637,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20.0,83.70056037579353,-5.666588948640371,2.646200180053711,0.0,45.0,21.894535252624514,0.0836311429738998,21.894535252624514,0.0836311429738998,,,0.188844233751297,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
